,sentence,rating
1019,"That may be an unintended consequence, but it is a serious one that could affect our Nation's monetary markets, health, and safety.",1
705,"Placing the tax on the revenue side makes it much more costly for small device makers to pay for it because many of  them have high revenue levels, but much smaller profit margins.",1
969,"In most Federal prisons, there are only one or two officers on responsibility in a cell block, meaning officers are guarding nearly 130 prisoners with virtually nothing to protect themselves.",4
187,"Joe Paterno and his wife, Sue, and their five children indicated a contribution of $3.5 million to the university in 1998, bringing Paterno's lifetime giving total to more than $4 million.",4
781,"We all hope for two states, living side by side peacefully, with families secure, that they can raise their children in a future that will bring peace and wealth and tranquillity in a troubled neighborhood of the world.",2
811,"Mr. Speaker, I want to answer to my colleague from Colorado who has raised some concerns about the issue of hydraulic fracturing.",1
52,"But the leap from saying that most undocumented women are vulnerable to assault and saying most undocumented men are rapists is, as he might say himself, huge.",1
1002,"Yes, Mr. Speaker, it is now illegal in the United States to kneel and pray in front of the White House for the restoration of religious freedom.",1
273,"So let's end our job, Mr. Speaker, and commit to making this the year we make permanent the Federal conservation easement tax incentive.",3
164,"As such, EPA needs the ability to look into illegal activity, whether it is illegal dumping of waste, negligent dumping of toxics or oil, and the illegal importation of products from other countries by those who would choose to ignore U.S. law.",4
97,"When her husband, Paul Galanti, was shot down and taken as a prisoner of war in North Vietnam in June 1966, Phyllis did not respond with terror but, instead, became a tireless advocate for American POWs around the world.",1
369,I rise today to acknowledge National Rural Health Day.,2
981,"I particularly want to say to my friends Mr. Grimm and Mr. King of New York, and I've seen several times that they've sat and worked together collectively with our Governor, whom I also want to  give a special thank-you to, Governor Mario Cuomo, and Governor Chris Christie from New Jersey, for working cooperatively, not as a Democrat  or a Republican, but working as an elected official to come together to the aid of people who need aid, aid from a terrible storm.",3
749,"So I say to my fellow Democrats, if cutting SNAP or other programs that help poor people is the price of admission to get anything done, any piece of major legislation passed, then we have strayed very, very far from our values.",2
447,"Mr. Chairman, again, I would say that, based on the direction from the CNO and his directives of how the Navy is looking to reorganize itself to make sure that it has the ability to maintain maritime superiority--this came out just 5 months ago--to me, it makes perfect sense for us to be able to do that.",3
817,"On the last night we were in Israel, one of the last nights, as we finished dinner at a restaurant on the Sea of Galilee, the owner of the restaurant took the microphone and announced that Members of the American Congress were here to stop this bad Iran deal.",2
404,"I find it very, very upsetting that this vote will, of course, be overwhelmingly in support of correcting the civil liberties of Syria and making Iran toe the line and contribute up on something that they're permitted to do.",3
456,We can't contribute in.,4
34,"Of the 92 victims of that attack on that day, 23 were children.",1
511,"Frances Willard earned her place in history by pioneering the temperance movement, breaking barriers in the field of education and leading the movement to obtain women's right to vote.",1
160,It enhances sexual attack prevention for male victims.,1
526,"Thank you for joining the conversation at #CBCTalks, and we are going to continue this conversation because 46 million people in our country live in poverty; 16 million of them are children.",2
494,I believe as soon as we realize Latinos yearn to share the same American values and aspirations as so many descendants of other immigrant groups--of Italian Americans and Irish Americans and German Americans and Asian Americans and all Americans--certainly America will thrive.,1
458,"The number one part for the Republican plan is transfer trillions of dollars of wealth from middle class America to the wealthiest in the country who don't need it; number two, explode the deficit, because there is no way to pay for this unless you cut a bunch of stuff; and then, number three, cut more.",2
48,"Mr. Speaker, there are fundamental problems with flood insurance.",1
962,"Apologists for Iran say that they just need to say these kinds of things, as well as maintain a limited nuclear stockpile, in order to save face and preserve their national pride.",4
601,This abdication of responsibility has not been seen since the Harding Administration.,3
261,"Mr. Speaker, the assault on our embassy in Benghazi was a tragic reminder of the security environment in which many of our diplomats serve.",2
517,"Chairman Walden announced that, while he does understand that the program is scheduled to run through September 30, that the analysis from the nonpartisan Medicaid and CHIP Payment and Access Commission shows that States have enough funds remaining in their accounts through the end of this year.",3
459,"There are far too many illegal laws, the number of which we don't know exactly, but which allow a violation of a regulation to be a crime, which allows the full power of the Federal Government to go after individuals.",3
903,"On Tuesday, Kansans from all across the Sunflower State wished him a glad 91st birthday.",2
521,"There are six important changes included in this bill: It improves NFIP's financial stability; it will reduce the burden on taxpayers; it restores integrity to the FEMA mapping system; it will help bring certainty to the housing market through a 5-year reauthorization; and last, it explores ways to increase private market participation.",2
809,"In 2008, in one specific case in Georgia, that of a farmer who did not want to mention his name for terror of retribution, his costs alone in legal fees were $525,000.",3
618,"If you turn that into a high-performing school, you'll add more value than anything else you could potentially do.",2
173,"God bless my mom, who is still alive.",1
660,"Mr. Speaker, I stand here today to advance the conversation surrounding the complete tax reform.",1
552,The addition of this language is important because we do not want to create the impression that Congress values expediency and cost-cutting over fairness.,1
1013,We are supposed to be the ones who are embodying and leading in those principles that we hold dear.,4
444,"Secondly, the bill seeks to enhance cooperation among financial institutions, also regulatory authorities and law enforcement, by expanding the range of counter-illicit financing information shared with financial institutions for the sole purpose of allowing such financial institutions to identify and report specified illicit activity.",2
878,"A duty to maintain all the documents, particularly in light of the fact the central figure has taken the Fifth.",4
615,"It says to the people who help us draft legislation, who answer the phones in our offices, and who respond to constituent mail, who help a veteran get his benefits or a high school student apply to the military academies that, unlike every other Federal employee, their employer will not contribute a share toward their health insurance.",3
632,I believe the greatest opportunity we have here is to include efforts to move our Nation toward a greener economy as part of a complete infrastructure bill.,2
