original,updated/copied,status,notes,grammar_issue_flag
,,,,
"We must  go after those individuals and those institutions that provide  financial safe havens to these fear groups, and we have got to  disrupt their financial networks.","We must go after those individuals and those institutions that provide financial safe havens to these fear groups, and we have got to disrupt their financial networks.",done,,
,,,,
"In most Federal prisons, there are only one or two officers on duty  in a cell block, meaning officers are guarding nearly 130 prisoners  with virtually nothing to protect themselves.","In most federal prisons, there are only one or two officers on duty in a cell block, meaning officers are guarding nearly 130 prisoners with virtually nothing to protect themselves.",done,,
,,,,
"Courtney was not only a victim of assault, but a victim of repeated  backlash from superiors and colleagues.","Courtney was not only a victim of assault, but a victim of repeated backlash from superiors and colleagues.",done,,
,,,,
"Now, at the beginning, Republicans were saying that this would be the  biggest job killer there was, that the economy would suffer, that  businesses would be cutting employees.","Now, at the beginning, Republicans were saying that this would be the biggest job killer there was, that the economy would suffer, that businesses would be cutting employees.",done,,
,,,,
" Thank you so much, Mr. Blumenauer, for leading this  discussion about such an important topic.","Thank you so much, Mr. Blumenauer, for leading this discussion about such an important topic.",done,,
,,,,
"The CFTC as rewritten the values of international  cooperation with this guidance, insisting that it alone can and should  manage the global swaps markets.","The CFTC as rewritten the values of international cooperation with this guidance, insisting that it alone can and should manage the global swaps markets.",review,"""has rewritten""",1
,,,,
"Mr. Speaker, the assault on our embassy in Benghazi was a tragic  reminder of the security environment in which many of our diplomats  serve.","Mr. Speaker, the assault on our embassy in Benghazi was a tragic reminder of the security environment in which many of our diplomats serve.",done,,
,,,,
"It targets the shipping and  financial sectors and also targets those, in China and Russia and  elsewhere, who profit from using North Korean slave labor.","It targets the shipping and financial sectors, and also targets those in China and Russia and elsewhere, who profit from using North Korean slave labor.",done,,
,,,,
The economic reality is that few farm operators will risk       their profitability and the survival of their business by       delegating all duty to a labor contractor.,The economic reality is that few farm operators will risk their profitability and the survival of their business by delegating all duty to a labor contractor.,done,,
,,,,
" Mr. Chair, the issue here is, do you want to fix the  possible problems with the Authorization for Use of Military Force back  in 2001 when all of the cosponsors were not even here and potentially the  NDAA?","Mr. Chair, the issue here is, do you want to fix the possible problems with the Authorization for Use of Military Force back in 2001 when all of the cosponsors were not even here, and potentially the NDAA?",done,,
,,,,
"We don't know for  sure, but probably likely by Wednesday or after, so, without comprehensive  surety, I will say to the gentleman, likely a suspension debate on the  floor on Tuesday.","We don't know for sure, but probably likely by Wednesday or after. So, without comprehensive surety, I will say to the gentleman, likely a suspension debate on the floor on Tuesday.",done,,
,,,,
"For example, a U.S. military officer overseeing sexual attack  prevention at Fort Hood in Texas is under investigation for his sexual  attack of soldiers.","For example, a U.S. military officer overseeing sexual attack prevention at Fort Hood in Texas, is under investigation for his sexual attack of soldiers.",done,,
,,,,
A GAO study will allow an objective assessment of whether the rarely  changed financial reserves imposed on depository institutions and  consumers are necessary in order for the Federal Reserve to implement  financial policy in the 21st century.,A GAO study will allow an objective assessment of whether the rarely changed financial reserves imposed on depository institutions and consumers are necessary in order for the Federal Reserve to implement financial policy in the 21st century.,done,,
,,,,
"What it's going to mean is young people--the very ones that we  wanted to have health care--the CBO just came out and said 7 million of  them now have no health insurance at all because they're either  unemployed, underemployed, don't live with mom and dad, are not poor  enough for Medicaid, not old enough for Medicare, and what in the world  are they going to do?","What it's going to mean is young people--the very ones that we wanted to have health care--the CBO just came out and said 7 million of them now have no health insurance at all because they're either unemployed, underemployed, don't live with mom and dad, are not poor enough for Medicaid, not old enough for Medicare, and what in the world are they going to do?",done,,
,,,,
The SEC does notregulate financial  institutions.,The SEC does not regulate financial institutions.,done,,
,,,,
"In fact, he is interested,  because I know him and know him well, in doing the things which are  under the charge that we at the Rules Committee and that this House  today, I believe, will contribute him, that he will well and faithfully  discharge those duties that have been contributen to him as the chairman of  this select committee.","In fact, he is interested, because I know him and know him well, in doing the things which are under the charge that we at the Rules Committee and that this House today, I believe, will contribute him, that he will well and faithfully discharge those duties that have been contributing to him as the chairman of this select committee.",review,"changed ""contributen"" to contributing, awkward sentence",1
,,,,
"For these reasons, I must oppose the amendment; although, I would say  to the gentleman that, if he would like to withdraw the amendment, as  we move to conference with the Senate, I would be glad to undertake  his concerns and see if there was some other way to work to incorporate  them into the bill that we ultimately send to the President's desk.","For these reasons, I must oppose the amendment. Although, I would say to the gentleman that, if he would like to withdraw the amendment, as we move to conference with the Senate, I would be glad to undertake his concerns and see if there was some other way to work to incorporate them into the bill that we ultimately send to the President's desk.",done,,
,,,,
H.R. 3894 will help ensure that instances of child abuse and neglect  are recognized and reported immediately by empowering appropriate  military and civilian personnel in the Department of Defense with the  skills and training need to recognize evidence of child abuse and  neglect and to place on them an affirmative responsibility to report instances of  suspected abuse or neglect promptly and directly to child protective  agencies.,H.R. 3894 will help ensure that instances of child abuse and neglect are recognized and reported immediately by empowering appropriate military and civilian personnel in the Department of Defense with the skills and training need to recognize evidence of child abuse and neglect and to place on them an affirmative responsibility to report instances of suspected abuse or neglect promptlyand directly to child protective agencies.,review,"""training needed""",1
,,,,
"So let's end our job, Mr. Speaker, and commit to  making this the year we make permanent the Federal conservation  easement tax incentive.","So let's end our job, Mr. Speaker, and commit to making this the year we make permanent the Federal conservation easement tax incentive.",done,,
,,,,
"Of course, that meant so  much to the mother of Olivia.","Of course, that meant so much to the mother of Olivia.",done,,
,,,,
"So these are the kinds of things that we are fighting against here,  Mr. Speaker.","So these are the kinds of things that we are fighting against here, Mr. Speaker.",done,,
,,,,
"We anticipate appointments to the Supreme Court that will honor life  and   recognize, also, as our Founding Fathers did when they drafted the  Declaration of Independence, that we have a right to life, to liberty,  and the pursuit of happiness.","We anticipate appointments to the Supreme Court that will honor life and recognize, also, as our Founding Fathers did when they drafted the Declaration of Independence, that we have a right to life, to liberty, and the pursuit of happiness.",done,,
,,,,
She  broke walls as an African American and as a woman news anchor for  WSB Television starting in 1975.,"She broke walls as an African American and as a woman news anchor for WSB Television, starting in 1975.",done,,
,,,,
"It says to  the people who help us draft legislation, who respond the phones in our  offices, and who respond to constituent mail, who help a veteran get  his benefits or a high school student apply to the military academies  that, unlike every other Federal employee, their employer will not  contribute a share toward their health insurance.","It says to the people who help us draft legislation, who respond the phones in our offices, and who respond to constituent mail, who help a veteran get his benefits or a high school student apply to the military academies that, unlike every other Federal employee, their employer will not contribute a share toward their health insurance.",review,""" who respond to the phone""",1
,,,,
It is outrageous and painful to think that men and women who are  willing to die for this country are not being treated with the utmost  dignity and respect.,It is outrageous and painful to think that men and women who are willing to die for this country are not being treated with the utmost dignity and respect.,done,,
,,,,
"And the interim  President right now is a former judge, so we had some things in common  as we talked not long ago there in Egypt.","And the interim President right now is a former judge, so we had some things in common, as we talked not long ago there in Egypt.",review,,
,,,,
"The mom pled: I will pay, but give me a few seconds because my  daughter is in the shower.","The mom pled, ""I will pay, but give me a few seconds because my daughter is in the shower.""",done,,
,,,,
"I am, again, very glad to have  been working closely with him on this legislation in a bipartisan  fashion.","I am, again, very glad to have been working closely with him on this legislation in a bipartisan fashion.",done,,
,,,,
"I want to recognize the efforts of Chairman Issa and his staff at the  Oversight and Government Reform Committee, including his eloquent  comments today.","I want to recognize the efforts of Chairman Issa and his staff at the Oversight and Government Reform Committee, including his eloquent comments today.",done,,
,,,,
"What you don't  know about a treatable condition that can harm you, possibly kill you,  what you don't know about it can hurt you.",What you don't know about a treatable condition that can harm you--possibly kill you--what you don't know about it can hurt you.,done,,
,,,,
"It cuts funding for  the Pell Grant program, as Representative Cicilline said, the core  program, the core student financial aid program that came about as a  result of the leadership of Senator Pell.","It cuts funding for the Pell Grant program, as Representative Cicilline said, the core program, the core student financial aid program that came about as a result of the leadership of Senator Pell.",review,,
,,,,
These statutory reforms  are important.,These statutory reforms are important.,done,,
,,,,
"We should be more faithful so  that when a country like Nigeria begs help to deal with radical Islam  and Boko Haram, we should not have to hear from a Catholic bishop in  Nigeria that the Obama administration is demanding that they change  their laws to embrace same-sex marriage against their religious  beliefs, appropriate for abortion even when it violates their religious  beliefs, chide the leader of Kenya or other countries to give up their  religious beliefs, and follow the amoral teaching of whoever happens to  be in charge in America.","We should be more faithful so that when a country like Nigeria begs help to deal with radical Islam and Boko Haram, we should not have to hear from a Catholic bishop in Nigeria that the Obama administration is demanding that they change their laws to embrace same-sex marriage against their religious beliefs; appropriate for abortion even when it violates their religious beliefs; chide the leader of Kenya or other countries to give up their religious beliefs, and follow the amoral teaching of whoever happens to be in charge in America.",done,,
,,,,
"Instead of deregulating for-profit colleges, we should be working to  ensure that these institutions are fulfilling their obligations to  their students.","Instead of deregulating for-profit colleges, we should be working to ensure that these institutions are fulfilling their obligations to their students.",done,,
,,,,
"Whether they have a father with Alzheimer's or a mother with  Parkinson's   disease or a child with autism, these caregivers provide approximately  80 percent of the long-term care for the chronically ill.","Whether they have a father with Alzheimer's or a mother with Parkinson's disease or a child with autism, these caregivers provide approximately 80 percent of the long-term care for the chronically ill.",done,,
,,,,
Let's recognize the change and make a change.,Let's recognize the change and make a change.,done,,
,,,,
I am happy to present this piece of legislation as part of a  comprehensive response to the Gold King spill and am glad that it comes  less than 1 year from the anniversary of that disaster.,I am happy to present this piece of legislation as part of a comprehensive response to the Gold King spill and am glad that it comes less than 1 year from the anniversary of that disaster.,done,,
,,,,
"We anticipate appointments to the Supreme Court that will honor life  and   acknowledge, also, as our Founding Fathers did when they drafted the  Declaration of Independence, that we have a right to life, to liberty,  and the pursuit of happiness.","We anticipate appointments to the Supreme Court that will honor life and acknowledge, also, as our Founding Fathers did when they drafted the Declaration of Independence, that we have a right to life, to liberty, and the pursuit of happiness.",done,,
,,,,
"The Back to Work Budget would maintain our commitment to seniors by  making no cuts to Medicare, Medicaid, or Social Security, while  reducing health care costs by negotiating drug prices, increasing  competition in the health care marketplace, and reducing fraud.","The ""Back to Work Budget"" would maintain our commitment to seniors by making no cuts to Medicare, Medicaid, or Social Security, while reducing health care costs by negotiating drug prices, increasing competition in the health care marketplace, and reducing fraud.",done,,
,,,,
"And let's let  this generational defining moment be defined by optimism, not by fear;  by the rising aspirations of our people and not the doom and gloom of  managed decline that we have become too familiar with.","And let's let this generational defining moment be defined by optimism, not by fear; by the rising aspirations of our people and not the doom and gloom of managed decline that we have become too familiar with.",done,,
,,,,
LLCs and other kinds of pass-throughs make up 95 percent of all  the businesses in the country.,LLCs and other kinds of pass-throughs make up 95 percent of all the businesses in the country.,done,,
,,,,
"It lets us know if we are profiting  or losing forestland, and it tells us if we have a net loss or net profit  in trees and tree volume.","It lets us know if we are profiting or losing forestland, and it tells us if we have a net loss or net profit in trees and tree volume.",review,gain/profit,
,,,,
"This insane idea that somehow there is an endless amount of money to  be thrown around the world for whatever reason possible and knowing  that, really, the Paris protocol is nothing more than a conversation  taking place in Paris.","This insane idea that somehow there is an endless amount of money to be thrown around the world for whatever reason possible and knowing that, really, the Paris protocol is nothing more than a conversation taking place in Paris.",done,,
,,,,
"Yesterday, this gentleman that I am going to introduce, the sponsor of  the bill, Bill Johnson, a 26-year veteran of the United States Air  Force, came up to the Rules Committee and had one of the most  delightful conversations on a bipartisan basis with other Democrats and  Republicans and spoke about the attributes of jobs and this natural  resource.","Yesterday, this gentleman that I am going to introduce, the sponsor of the bill, Bill Johnson, a 26-year veteran of the United States Air Force, came up to the Rules Committee and had one of the most delightful conversations on a bipartisan basis with other Democrats and Republicans and spoke about the attributes of jobs and this natural resource.",done,,
,,,,
It will also acknowledge that he was our fellow colleague in the United  States Congress.,It will also acknowledge that he was our fellow colleague in the United States Congress.,done,,
,,,,
"This bill brings together government agencies, including the national  labs, the energy and manufacturing industries, unions, schools,  community colleges and universities, among others, and promotes  cooperation and collaboration to ensure that we are tapping into a  wealth of underutilized talent and are training and preparing employees  for the energy and manufacturing jobs of the present and also of the  future.","This bill brings together government agencies, including the national labs, the energy and manufacturing industries, unions, schools, community colleges and universities, among others, and promotes cooperation and collaboration to ensure that we are tapping into a wealth of underutilized talent and are training and preparing employees for the energy and manufacturing jobs of the present and also of the future.",done,,
,,,,
"As for the solar  fuel process, also known as artificial photosynthesis, new materials  and catalysts will be needed to be developed through basic research  before the private sector will ever be able to develop a commercial  solar fuels system.","As for the solar fuel process, also known as artificial photosynthesis, new materials and catalysts will be needed to be developed through basic research before the private sector will ever be able to develop a commercial solar fuels system.",review,"""will need to be developed""",
,,,,
"That is important, but it is  also important to build on the good work we have already done with the  National Science Foundation--to really provide that equipment, those  tools, those mentors, the training, and to take those lab discoveries,  the fundamental R&D, and commercialize it.","That is important, but it is also important to build on the good work we have already done with the National Science Foundation--to really provide that equipment, those tools, those mentors, the training, and to take those lab discoveries--the fundamental R&D--and commercialize it.",done,,
,,,,
This provision would  ensure that any traveler that is determined to be possibly dangerous  undergoes security screening on U.S. soil before being allowed to board  a domestic flight.,This provision would ensure that any traveler that is determined to be possibly dangerous undergoes security screening on U.S. soil before being allowed to board a domestic flight.,done,,
,,,,
"We know that liberty  and freedom are not free, but it is important to be able to acknowledge  these horrible and excessive and heinous acts.","We know that liberty and freedom are not free, but it is important to be able to acknowledge these horrible and excessive and heinous acts.",done,,
,,,,
It will also recognize that he was our fellow colleague in the United  States Congress.,It will also recognize that he was our fellow colleague in the United States Congress.,done,,
,,,,
"Congress must advance progrowth  policies that create jobs and restore economic prosperity for families  and businesses across the Nation, and it must make sure that the  administration and its regulatory apparatus are held accountable to the  American people.","Congress must advance pro-growth policies that create jobs and restore economic prosperity for families and businesses across the Nation, and it must make sure that the administration and its regulatory apparatus are held accountable to the American people. ",done,,
,,,,
"For that reason, I am glad to rise in  support of this legislation.","For that reason, I am glad to rise in support of this legislation.",done,,
,,,,
"I am not sure I would have supported past farm bills, to tell you the  truth, that were passed before I came here; but I support this one  because the reforms we have brought to the agriculture side and the  nutrition side are very good.","I am not sure I would have supported past farm bills, to tell you the truth, that were passed before I came here. But I support this one because the reforms we have brought to the agriculture side and the nutrition side are very good.",done,,
,,,,
I just want to say to any small business who worries about fair  scheduling: We want to be in conversation with you.,I just want to say to any small business who worries about fair scheduling: We want to be in conversation with you.,done,,
,,,,
"Thank you for joining the discussion at  #CBCTalks, and we are going to continue this discussion because 46  million people in our country live in poverty; 16 million of them are  children.","Thank you for joining the discussion at #CBCTalks, and we are going to continue this discussion because 46 million people in our country live in poverty; 16 million of them are children.",done,,
,,,,
"To encourage former VA employees who left VA service to gain relevant  education or experience and then return to the VA, the bill would allow  the VA to noncompetitively reappoint a former employee to a position  not more than 1 grade higher than their former position.","To encourage former VA employees who left VA service to gain relevant education or experience and then return to the VA, the bill would allow the VA to non-competitively reappoint a former employee to a position not more than one grade higher than their former position.",done,,
,,,,
I rise today to recognize  National Rural Health Day.,I rise today to recognize National Rural Health Day.,done,,
,,,,
"That is important, but it is  also important to build on the good work we have already done with the  National Science Foundation--to really provide that equipment, those  tools, those mentors, the training, and to take those lab discoveries,  the basic R&D, and commercialize it.","That is important, but it is also important to build on the good work we have already done with the National Science Foundation--to really provide that equipment, those tools, those mentors, the training, and to take those lab discoveries--the basic R&D--and commercialize it.",done,,
,,,,
"In 4 short years, Mr. Chairman, we can be out of this discussion  about debt and deficit and begin the discussion about freeing the  next generation from the $16.7 trillion that you and I and previous  Congresses have racked up on their behalf.","In 4 short years, Mr. Chairman, we can be out of this discussion about debt and deficit and begin the discussion about freeing the next generation from the $16.7 trillion that you and I and previous Congresses have racked up on their behalf.",done,,
,,,,
Or is it intending to maintain a market share for two gaming entities  that have enjoyed that market share by themselves?,Or is it intending to maintain a market share for two gaming entities that have enjoyed that market share by themselves?,done,,
,,,,
"Both came and  vigorously talked about the things which are aimed at our country-- cyber threats, nation-states, nations such as China, North Korea, and  others who are trying to invade our Internet here in the United States  and to steal not only information and data, but also thoughts, ideas,  and money.","Both came and vigorously talked about the things which are aimed at our country: cyber threats, nation-states, nations such as China, North Korea, and others who are trying to invade our Internet here in the United States and to steal not only information and data, but also thoughts, ideas, and money.",done,,
,,,,
"In 10, 15, 20, 30 years later when they go to replace it, well, the  walls are in, the windows are in, the people are in, the offices are  in.","In 10, 15, 20, 30 years later when they go to replace it, well, the walls are in, the windows are in, the people are in, the offices are in.",done,,
,,,,
Many survivors are unable to preserve even a modest and  dignified standard of living: they lack funds for home care; they don't  have the money for medicine; they don't have the funds for food; they  can't pay the utilities; and they can't pay their rent.,"Many survivors are unable to preserve even a modest and dignified standard of living: they lack funds for home care, they don't have the money for medicine, they don't have the funds for food, they can't pay the utilities, and they can't pay their rent.",done,,
,,,,
I don't terror the policies.,I don't terror the policies.,review,fear/terror,
,,,,
"All of that excessive red tape places a huge burden on small- and  medium-sized businesses that create jobs in New Jersey, the State I  represent, and across the Nation.","All of that excessive red tape places a huge burden on small and medium-sized businesses that create jobs in New Jersey, the State I represent, and across the Nation.",done,,
,,,,
"Our Defense labs also contribute to American economic growth by  spurring   the creation of new industries, companies, and jobs across the country,  guaranteeing that America leads the way in cutting-edge science and  technology.","Our Defense labs also contribute to American economic growth by spurring the creation of new industries, companies, and jobs across the country, guaranteeing that America leads the way in cutting-edge science and technology.",done,,
,,,,
"I want to acknowledge former USAID Administrator Rajiv Shah, who did  tremendous work at USAID helping build the Lab into a world-class  center of innovation, working toward new solutions to extreme poverty.","I want to acknowledge former USAID Administrator, Rajiv Shah, who did tremendous work at USAID helping build the Lab into a world-class center of innovation, working toward new solutions to extreme poverty.",done,,
,,,,
"In  2008, in one specific case in Georgia, that of a farmer who did not  want to mention his name for fear of retribution, his costs alone in  legal fees were $525,000.","In 2008, in one specific case in Georgia, that of a farmer--who did not want to mention his name for fear of retribution--his costs alone in legal fees were $525,000.",done,,
,,,,
"Secondly, the bill seeks to enhance cooperation among monetary  institutions, also regulatory authorities and law enforcement, by  expanding the range of counter-illicit financing information shared  with monetary institutions for the sole purpose of allowing such  monetary institutions to identify and report specified illicit  activity.","Secondly, the bill seeks to enhance cooperation among monetary institutions, also regulatory authorities and law enforcement, by expanding the range of counter-illicit financing information shared with monetary institutions for the sole purpose of allowing such monetary institutions to identify and report specified illicit activity.",done,,
,,,,
"Surely, Congress can muster the courage  to do our constitutional duty and debate and vote on a new AUMF within  8 months if that is our decision.","Surely, Congress can muster the courage to do our constitutional duty and debate and vote on a new AUMF within 8 months; if that is our decision.",done,,
,,,,
" Madam Chair, I rise today in support of H.R.  1864, a bill that bolsters existing military whistleblower protection  laws to clarify that victims of illegal sexual crimes are protected  from punishment for reporting those crimes.","Madam Chair, I rise today in support of H.R. 1864, a bill that bolsters existing military whistleblower protection laws to clarify that victims of illegal sexual crimes are protected from punishment for reporting those crimes.",done,,
,,,,
What do you want to do about  the single mom who works three jobs just to put food on the table so  she could feed her family?,What do you want to do about the single mom who works three jobs just to put food on the table so she could feed her family?,done,,
,,,,
"Every Muslim  leader must unequivocally proclaim that fear committed in the name of  Islam violates the core tenets of the Prophet Mohammed, and they must  do so repeatedly, period.","Every Muslim leader must unequivocally proclaim that fear committed in the name of Islam violates the core tenets of the Prophet Mohammed, and they must do so repeatedly, period.",review,fear/terror,
,,,,
How excessive.,How excessive.,review,not complete sentence,1
,,,,
"I don't think  that they envisioned that innocent children, babies, would be  assassinated, if you will, by someone who had one of these attack  weapons.","I don't think that they envisioned that innocent children, babies, would be assassinated, if you will, by someone who had one of these attack weapons.",done,,
,,,,
Let's acknowledge the change and make a change.,Let's acknowledge the change and make a change.,done,,
,,,,
"Certainly, the whole conversation here makes it very clear that  American families--American families--are being disrupted, separated  day after day.","Certainly, the whole conversation here makes it very clear that American families--American families--are being disrupted, separated day after day.",done,,
,,,,
This bill fits squarely within the authority by bringing  uniformity to cases of de minimis presence by interstate workers in  order to reduce compliance costs.,This bill fits squarely within the authority by bringing uniformity to cases of de minimis presence by interstate workers in order to reduce compliance costs.,done,,
,,,,
"So the CFTC was able  to power through the objections, and I would like for us to do the same  thing, because what we have asked the CFTC to do is rational,  straightforward stuff with respect to the changes at the operations of  the Committee itself.","So the CFTC was able to power through the objections, and I would like for us to do the same thing, because what we have asked the CFTC to do is rational, straightforward stuff with respect to the changes at the operations of the committee itself.",done,,
,,,,
I appreciate the emotionally charged discussion that we are  having here on the House floor today.,I appreciate the emotionally charged discussion that we are having here on the House floor today.,done,,
,,,,
"Mr. Chairman, it is time we close this loophole that enables  outrageous payouts to groups that have made a business of suing the  Federal Government.","Mr. Chairman, it is time we close this loophole that enables outrageous payouts to groups that have made a business of suing the Federal Government.",done,,
,,,,
"To encourage former VA employees who left VA service to profit relevant  education or experience and then return to the VA, the bill would allow  the VA to noncompetitively reappoint a former employee to a position  not more than 1 grade higher than their former position.","To encourage former VA employees who left VA service to profit relevant education or experience and then return to the VA, the bill would allow the VA to noncompetitively reappoint a former employee to a position not more than one grade higher than their former position.",review,gain/profit,
,,,,
"While I will say over and over again that ObamaCare is wrong for the  American people--that it is wrong for hardworking Missourians and that  it is certainly wrong for the people of the Second District--and that  it needs to be replaced immediately before any more harmful provisions  are implemented, at the very least, what the government can do is  require that we report any security breaches on the ObamaCare Web site  to these innocent victims who, through no fault of their own, trusted a  government that has once again possibly deceived them.","While I will say over and over again that Obamacare is wrong for the American people, that it is wrong for hardworking Missourians and tha it is certainly wrong for the people of the Second District and that it needs to be replaced immediately before any more harmful provisions are implemented, at the very least, what the government can do is require that we report any security breaches on the Obamacare Web site to these innocent victims who, through no fault of their own, trusted a government that has once again possibly deceived them.",done,,
,,,,
"Mr. Speaker, the House will consider a number of suspensions next  week, a complete list of which will be indicated by close of business  today.","Mr. Speaker, the House will consider a number of suspensions next week, a complete list of which will be indicated by close of business today.",done,,
,,,,
They talked very loudly  when the other side of the aisle forced this on America in the last  Congress.,They talked very loudly when the other side of the aisle forced this on America in the last Congress.,done,,
,,,,
The  changes that we're proposing today cut only 4 percent over the next 10  years.,The changes that we're proposing today cut only 4 percent over the next 10 years.,done,,
,,,,
Individuals who are       granted DACA 2012 receive a two-year period in deferred       action and also profit eligibility to apply for employment       authorization.,Individuals who are granted DACA 2012 receive a two-year period in deferred action and also profit eligibility to apply for employment authorization.,review,gain/profit,
,,,,
So Tom Osborne then got up and spoke about Joe Paterno and his  respect for him.,"So,Tom Osborne then got up and spoke about Joe Paterno and his respect for him.",done,,
,,,,
The Violence  Against Women Act gave women a better chance to live their lives  without that terror.,The Violence Against Women Act gave women a better chance to live their lives without that terror.,review,without terror,
,,,,
That is our duty in the U.S.  House of Representatives.,That is our duty in the U.S. House of Representatives.,done,,
,,,,
"While the funding mechanisms are not perfect, we are moving in the  right direction and putting our Nation back on the path to wealth.","While the funding mechanisms are not perfect, we are moving in the right direction and putting our Nation back on the path to wealth.",done,,
,,,,
"First, let me just say, Mr. Hoyer, our whip, spoke about the 50th  anniversary this year of President Johnson's War on Poverty.","First, let me just say, Mr. Hoyer, our Whip, spoke about the 50th anniversary this year of President Johnson's War on Poverty.",done,,
,,,,
It is for those  who found the Solyndra default to be outrageous.,It is for those who found the Solyndra default to be outrageous.,done,,
,,,,
Surely Congress will respond.,Surely Congress will respond.,done,,
,,,,
Social Security is unique because it is paid for through a dedicated  tax on employees who will receive future benefits.,Social Security is unique because it is paid for through a dedicated tax on employees who will receive future benefits.,done,,
,,,,
I would be happy to yield.,I would be happy to yield.,done,,
,,,,
"Protecting the nation's border--land, air, and sea--from illegal  entry of people, weapons, drugs, and contraband is vital to our  homeland security, as well as economic wealth.","Protecting the nation's border--land, air, and sea--from illegal entry of people, weapons, drugs, and contraband is vital to our homeland security, as well as economic wealth.",review,wealth current/prosperity future,
,,,,
"Why are we not taking care of these physicians  who spend 8 years and hundreds of thousands of dollars to work to profit  a degree because they are healers, they believe in it, they want to  serve the public.","Why are we not taking care of these physicians who spend eight years and hundreds of thousands of dollars to work to profit a degree because they are healers, they believe in it, they want to serve the public.",review,profit/gain,
,,,,
"In order to stand strong against jihadist fear and cartel  organized crime, we   must have an adequate number of boots on the ground.","In order to stand strong against jihadist fear and cartel organized crime, we must have an adequate number of boots on the ground.",done,,
,,,,
"What it's going to mean is young people--the very ones that we  wanted to have health care--the CBO just came out and said 7 million of  them now have no health insurance at all because they're either  unemployed, underemployed, don't live with mother and dad, are not poor  enough for Medicaid, not old enough for Medicare, and what in the world  are they going to do?","What it's going to mean is young people--the very ones that we wanted to have health care--the CBO just came out and said 7 million of them now have no health insurance at all because they're either unemployed, underemployed, don't live with mother and dad, are not poor enough for Medicaid, not old enough for Medicare, and what in the world are they going to do?",done,awkward sentence,
,,,,
"Yes, Mr. Speaker, it is now  criminal in the United States to kneel and pray in front of the White  House for the restoration of religious freedom.","Yes, Mr. Speaker, it is now criminal in the United States to kneel and pray in front of the White House for the restoration of religious freedom.",done,,
,,,,
"No one, including Megan Kanka's parents or any of the other  neighbors, knew that their neighbor across the street had been  convicted twice and jailed for child sexual assault.","No one, including Megan Kanka's parents or any of the other neighbors, knew that their neighbor across the street had been convicted twice and jailed for child sexual assault.",done,,
,,,,
"Mr. Speaker, I stand here today to advance the conversation  surrounding the comprehensive tax reform.","Mr. Speaker, I stand here today to advance the conversation surrounding the comprehensive tax reform.",done,,
,,,,
"The rest of the barriers throughout  history, including the Great Wall of China, were built to keep people  out.","The rest of the barriers throughout history, including the Great Wall of China, were built to keep people out.",done,,
,,,,
"People take duty, but there's no accountability,  and no heads really roll.","People take duty, but there's no accountability, and no heads really roll.",done,,
,,,,
"As we indicate, the President supports the underlying legislation and  the gentleman announced that he may be looking for some amendments to  the bill, but I would assume quite candidly he would not be looking for  this amendment.","As we indicate, the President supports the underlying legislation and the gentleman announced that he may be looking for some amendments to the bill, but I would assume, quite candidly, he would not be looking for this amendment.",done,,
,,,,
"American  Trucking Associations, Inc., in regard to possibly considering cost  when setting ambient air quality standards to protect public health, he  said:         The cost factor is both so indirectly related to public       health and so full of potential for canceling the conclusions       drawn from direct health effects, that it would have been       expressly mentioned in sections 108 and 109 had Congress       meant it to be considered.","American Trucking Associations, Inc., in regard to possibly considering cost when setting ambient air quality standards to protect public health, he said: The cost factor is both so indirectly related to public health and so full of potential for canceling the conclusions drawn from direct health effects, that it would have been expressly mentioned in sections 108 and 109 had Congress meant it to be considered.",review,american trucking associantion ... he said,
,,,,
"In fact, reduced mercury       explained none of the purported future reduction in deaths,       heart attacks and asthma, and less than 0.01% of the monetary       benefits.","In fact, reduced mercury explained none of the purported future reduction in deaths, heart attacks, and asthma, and less than 0.01% of the monetary benefits.",done,,
,,,,
"For that reason, I am happy to rise in  support of this legislation.","For that reason, I am happy to rise in support of this legislation.",done,,
,,,,
"Those are the changes  we made as Democrats here while the Democrats were in charge of the  Chamber in 2007, 2008, 2009, and 2010, and those are the investments we  made.","Those are the changes we made as Democrats here, while the Democrats were in charge of the Chamber in 2007, 2008, 2009, and 2010, and those are the investments we made.",review,awkward,
,,,,
"All we're saying, Mr. Speaker, is that since Russia is already going  to be a member as of August 22 of the World Trade Organization, we want  to make sure that U.S. workers and U.S. businesses will have the  opportunity to have access to the 140 million consumers in Russia.","All we're saying, Mr. Speaker, is that since Russia is already going to be a member, as of August 22, of the World Trade Organization, we want to make sure that U.S. workers and U.S. businesses will have the opportunity to have access to the 140 million consumers in Russia.",review,august 22nd,
,,,,
"This is unjust, criminal, tragic, and  unacceptable; and sadly, Mr. Speaker, this is but one of 31 separate  cases involving American children wrongfully removed from the United  States to Egypt.","This is unjust, criminal, tragic, and unacceptable, and sadly, Mr. Speaker, this is but one of 31 separate cases involving American children wrongfully removed from the United States to Egypt.",done,,
,,,,
I don't know whether the gentleman  wants to respond at all.,I don't know whether the gentleman wants to respond at all.,done,,
,,,,
I rise today to acknowledge  National Rural Health Day.,I rise today to acknowledge National Rural Health Day.,done,,
,,,,
"All of this comes just days after President Obama has said, yet  again, we do not have a comprehensive strategy to defeat ISIS in Iraq or  Syria.","All of this comes just days after President Obama has said, yet again, we do not have a comprehensive strategy to defeat ISIS in Iraq or Syria.",done,,
